id,name,from_anime,gender,price,image_url
130,Kamijou Touma,Toaru Majutsu no Index,m,2671,http://cdn.myanimelist.net/images/characters/5/91921.jpg
132,Kuran Kaname,Vampire Knight,m,4743,http://cdn.myanimelist.net/images/characters/7/59910.jpg
133,Kanbara Akihito,Kyoukai no Kanata,m,3217,http://cdn.myanimelist.net/images/characters/4/222683.jpg
134,Kanda Yuu,D.Gray-man,m,4875,http://cdn.myanimelist.net/images/characters/9/68714.jpg
135,Kano Shuuya,Mekakucity Actors,m,2634,http://cdn.myanimelist.net/images/characters/14/239697.jpg
138,Kasamatsu Yukio,Kuroko no Basket,m,4626,http://cdn.myanimelist.net/images/characters/5/164419.jpg
139,Kasugano Haruka,Yosuga no Sora,m,946,http://cdn.myanimelist.net/images/characters/11/105672.jpg
140,Katou Kiri,SKET Dance,m,2264,http://cdn.myanimelist.net/images/characters/2/181555.jpg
141,Katsura Kotarou,Gintama,m,3145,http://cdn.myanimelist.net/images/characters/11/30271.jpg
142,Katsuragi Keima,Kami nomi zo Shiru Sekai,m,3579,http://cdn.myanimelist.net/images/characters/8/122018.jpg
143,Kawabuchi Sentarou,Sakamichi no Apollon,m,3335,http://cdn.myanimelist.net/images/characters/13/160885.jpg
144,Kazehaya Shouta,Kimi ni Todoke,m,3814,http://cdn.myanimelist.net/images/characters/9/76844.jpg
145,Keith Goodman,Tiger & Bunny,m,3978,http://cdn.myanimelist.net/images/characters/2/113956.jpg
146,Killua Zoldyck,Hunter x Hunter (2011),m,1151,http://cdn.myanimelist.net/images/characters/9/174559.jpg
147,Kinagase Tsumugu,Kill la Kill,m,3587,http://cdn.myanimelist.net/images/characters/6/276158.jpg
149,Kinoshita Hideyoshi,Baka to Test to Shoukanjuu,m,3811,http://cdn.myanimelist.net/images/characters/7/76762.jpg
150,Kirigaya Kazuto,Sword Art Online,m,2563,http://cdn.myanimelist.net/images/characters/7/204821.jpg
152,Kiryuu Nagisa,Classroom Crisis,m,1095,http://cdn.myanimelist.net/images/characters/5/286087.jpg
153,Zero Kiryuu,Vampire Knight,m,2443,http://cdn.myanimelist.net/images/characters/15/59912.jpg
154,Kisaragi Shintarou,Mekakucity Actors,m,4684,http://cdn.myanimelist.net/images/characters/4/248963.jpg
155,Kise Ryouta,Kuroko no Basket,m,852,http://cdn.myanimelist.net/images/characters/16/246753.jpg
157,Koizumi Itsuki,Suzumiya Haruhi no Yuuutsu,m,4544,http://cdn.myanimelist.net/images/characters/14/75055.jpg
158,Kojirou (Pokemon),Pokemon,m,923,http://cdn.myanimelist.net/images/characters/4/278095.jpg
159,Komuro Takashi,Highschool of the Dead,m,2873,http://cdn.myanimelist.net/images/characters/7/85770.jpg
160,Kondou Isao,Gintama,m,1044,http://cdn.myanimelist.net/images/characters/15/103333.jpg
161,Kougami Shinya,Psycho-Pass,m,4836,http://cdn.myanimelist.net/images/characters/16/192521.jpg
162,Kousaka Kyousuke,OreImo,m,3822,http://cdn.myanimelist.net/images/characters/15/101411.jpg
163,Kozume Kenma,Haikyuu!!,m,4668,http://cdn.myanimelist.net/images/characters/2/195911.jpg
164,Kuchiki Byakuya,Bleach,m,4679,http://cdn.myanimelist.net/images/characters/7/100098.jpg
165,Kujou Kazuya,Gosick,m,2494,http://cdn.myanimelist.net/images/characters/3/85505.jpg
166,Kuramochi Youichi,Diamond no Ace,m,4267,http://cdn.myanimelist.net/images/characters/4/224655.jpg
168,Kuroo Tetsurou,Haikyuu!!,m,4585,http://cdn.myanimelist.net/images/characters/9/250903.jpg
